"id:ID","name","uri"
"2","LOCATION","http://id.d4k.dk/dataset/clinical_recording/common/location"
"3","PORTION","http://id.d4k.dk/dataset/clinical_recording/common/location/portion"
"4","DIRECTIONALITY","http://id.d4k.dk/dataset/clinical_recording/common/location/directionality"
"5","LATERALITY","http://id.d4k.dk/dataset/clinical_recording/common/location/laterality"
"6","PERIOD","http://id.d4k.dk/dataset/clinical_recording/common/period"
"7","PERIOD START","http://id.d4k.dk/dataset/clinical_recording/common/period/period_start"
"8","PERIOD END","http://id.d4k.dk/dataset/clinical_recording/common/period/period_end"
"9","DATE TIME","http://id.d4k.dk/dataset/clinical_recording/common/date_time"
"10","ADVERSE EVENT","http://id.d4k.dk/dataset/clinical_recording/adverse_event"
"11","SERIOUS","http://id.d4k.dk/dataset/clinical_recording/adverse_event/serious"
"12","SEVERITY","http://id.d4k.dk/dataset/clinical_recording/adverse_event/severity"
"13","CAUSALITY","http://id.d4k.dk/dataset/clinical_recording/adverse_event/causality"
"14","NON STUDY TREATMENT","http://id.d4k.dk/dataset/clinical_recording/adverse_event/causality/non_study_treatment"
"15","RELATED","http://id.d4k.dk/dataset/clinical_recording/adverse_event/causality/related"
"16","DEVICE","http://id.d4k.dk/dataset/clinical_recording/adverse_event/causality/device"
"17","TOXICITY","http://id.d4k.dk/dataset/clinical_recording/adverse_event/toxicity"
"18","GRADE","http://id.d4k.dk/dataset/clinical_recording/adverse_event/toxicity/grade"
"19","RESPONSE","http://id.d4k.dk/dataset/clinical_recording/adverse_event/response"
"20","OTHER","http://id.d4k.dk/dataset/clinical_recording/adverse_event/response/other"
"21","CONCOMITANT TREATMENT","http://id.d4k.dk/dataset/clinical_recording/adverse_event/response/concomitant_treatment"
"22","STUDY TREATMENT","http://id.d4k.dk/dataset/clinical_recording/adverse_event/response/study_treatment"
"23","TERM","http://id.d4k.dk/dataset/clinical_recording/adverse_event/term"
"24","CATEGORY","http://id.d4k.dk/dataset/clinical_recording/adverse_event/category"
"25","OBSERVATION","http://id.d4k.dk/dataset/clinical_recording/observation"
"26","CONSCIOUS","http://id.d4k.dk/dataset/clinical_recording/observation/conscious"
"27","REFERENCE RESULT","http://id.d4k.dk/dataset/clinical_recording/observation/reference_result"
"28","SENSITIVITY","http://id.d4k.dk/dataset/clinical_recording/observation/sensitivity"
"29","TEST","http://id.d4k.dk/dataset/clinical_recording/observation/test"
"30","FASTING","http://id.d4k.dk/dataset/clinical_recording/observation/fasting"
"31","EPIDEMIC / PANDEMIC","http://id.d4k.dk/dataset/clinical_recording/observation/epidemic_/_pandemic"
"32","REASON PERFORMED","http://id.d4k.dk/dataset/clinical_recording/observation/reason_performed"
"33","BODY SYSTEM","http://id.d4k.dk/dataset/clinical_recording/observation/body_system"
"34","LOINC REF","http://id.d4k.dk/dataset/clinical_recording/observation/loinc_ref"
"35","LEAD","http://id.d4k.dk/dataset/clinical_recording/observation/lead"
"36","METHOD","http://id.d4k.dk/dataset/clinical_recording/observation/method"
"37","RUN ID","http://id.d4k.dk/dataset/clinical_recording/observation/run_id"
"38","SPECIMEN","http://id.d4k.dk/dataset/clinical_recording/observation/specimen"
"39","CONDITION","http://id.d4k.dk/dataset/clinical_recording/observation/specimen/condition"
"40","USABLE","http://id.d4k.dk/dataset/clinical_recording/observation/specimen/usable"
"41","ANATOMIC REGION","http://id.d4k.dk/dataset/clinical_recording/observation/specimen/anatomic_region"
"42","RANGE","http://id.d4k.dk/dataset/clinical_recording/observation/range"
"43","LOW","http://id.d4k.dk/dataset/clinical_recording/observation/range/low"
"44","HI","http://id.d4k.dk/dataset/clinical_recording/observation/range/hi"
"45","LAB","http://id.d4k.dk/dataset/clinical_recording/observation/lab"
"46","OBSERVATION RESULT","http://id.d4k.dk/dataset/clinical_recording/observation/observation_result"
"47","RESULT","http://id.d4k.dk/dataset/clinical_recording/observation/observation_result/result"
"48","RESULT OTHER","http://id.d4k.dk/dataset/clinical_recording/observation/observation_result/result_other"
"49","DISTRIBUTION","http://id.d4k.dk/dataset/clinical_recording/observation/observation_result/distribution"
"50","CHRONICITY","http://id.d4k.dk/dataset/clinical_recording/observation/observation_result/chronicity"
"51","CODED","http://id.d4k.dk/dataset/clinical_recording/observation/observation_result/coded"
"52","TYPE","http://id.d4k.dk/dataset/clinical_recording/observation/observation_result/type"
"53","SCALE","http://id.d4k.dk/dataset/clinical_recording/observation/observation_result/scale"
"54","THERAPEUTIC INTERVENTION","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention"
"55","DESCRIPTION","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/description"
"56","ADJUSTMENT","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/adjustment"
"57","DAILY DOSE","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/daily_dose"
"58","FREQUENCY","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/frequency"
"59","TREATMENT VEHICLE","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/treatment_vehicle"
"60","CARRIER","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/treatment_vehicle/carrier"
"61","AMOUNT","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/treatment_vehicle/amount"
"62","FORM","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/form"
"63","ROUTE","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/route"
"64","SINGLE DOSE","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/single_dose"
"65","TREATMENT","http://id.d4k.dk/dataset/clinical_recording/therapeutic_intervention/treatment"
